# SO2 Absorption Cross section
# Source: Rufus et al. 2009 (JGR)
# Temp: 298K
# Wavelength (nm), Cross-section
3.257855654960956144e+02 -9.064000000000000397e-21
3.257850454293758276e+02 6.366199999999999676e-21
3.257845147507611046e+02 -5.400099999999999846e-21
3.257839946873961026e+02 -1.725740000000000061e-20
3.257834640122045471e+02 -8.987600000000000076e-21
3.257829333387418842e+02 -7.471300000000000029e-21
3.257824132804257147e+02 -1.033559999999999963e-20
3.257818826103861056e+02 -5.076000000000000022e-21
3.257813625554246073e+02 -6.497599999999999717e-21
3.257808318888081089e+02 -1.733750000000000079e-20
3.257803012239203895e+02 -1.472959999999999937e-20
3.257797811740076668e+02 -2.871000000000000022e-21
3.257792505125429443e+02 -3.415299999999999864e-21
3.257787304659847791e+02 -1.054299999999999959e-21
3.257781998079430537e+02 3.861100000000000243e-21
3.257776797647393892e+02 -8.099199999999999520e-21
3.257771491101206038e+02 -1.537849999999999943e-20
3.257766184572305974e+02 -4.784900000000000030e-21
3.257760984190755948e+02 2.946399999999999904e-21
3.257755677696084717e+02 -2.114099999999999889e-21
3.257750477348078562e+02 -9.016000000000000369e-21
3.257745171948926100e+02 -9.243000000000000441e-21
3.257739865505766943e+02 -1.261719999999999959e-20
3.257734665208242859e+02 -1.199930000000000073e-20
3.257729358799311967e+02 -1.054000000000000057e-22
3.257724158535330616e+02 -1.451799999999999914e-21
3.257718852160627989e+02 -8.215400000000000104e-21
3.257713545803211446e+02 -6.177300000000000134e-21
3.257708345589714440e+02 -7.297599999999999944e-21
3.257703039266525025e+02 -6.896899999999999786e-21
3.257697839086570752e+02 -1.229230000000000046e-20
3.257692532797609033e+02 -1.557809999999999853e-20
3.257687226525932829e+02 7.243999999999999561e-22
3.257682026396461197e+02 -2.480600000000000140e-21
3.257676720159011552e+02 -1.464220000000000061e-20
3.257671520063082085e+02 -2.244599999999999873e-21
3.257666213859858431e+02 -5.224799999999999659e-21
3.257661013797470559e+02 -1.439699999999999863e-20
3.257655707628472896e+02 -9.074900000000000711e-21
3.257650401476760749e+02 -1.154610000000000063e-20
3.257645201464853812e+02 -1.274400000000000009e-20
3.257639895347367087e+02 -8.524100000000000457e-21
3.257634695369000610e+02 -4.595799999999999723e-21
3.257629389285738739e+02 -6.035799999999999830e-21
3.257624083219762383e+02 -1.101850000000000034e-20
3.257618883291875704e+02 -7.983000000000000441e-21
3.257613577260124202e+02 -8.795299999999999566e-21
3.257608377365776846e+02 -6.157400000000000003e-21
3.257603071368249061e+02 -2.812700000000000094e-21
3.257597765388006223e+02 -1.263650000000000043e-20
3.257592565544138097e+02 -8.970100000000000097e-21
3.257587259598118408e+02 -6.991999999999999599e-22
3.257582059787789035e+02 4.644999999999999827e-21
3.257576753875993631e+02 9.388799999999999889e-21
3.257571447981482038e+02 -5.406700000000000263e-21
3.257566248221630190e+02 -7.266799999999999500e-21
3.257560942361341176e+02 3.252500000000000093e-21
3.257555742635027514e+02 2.927999999999999868e-21
3.257550436808961081e+02 8.788100000000000615e-21
3.257545237116185604e+02 5.695600000000000116e-21
3.257539931324341183e+02 -2.120000000000000169e-22
3.257534625549781140e+02 1.897999999999999989e-22
3.257529425907480913e+02 -7.693300000000000538e-21
3.257524120167142314e+02 8.199999999999999881e-22
3.257518920558379136e+02 5.990100000000000323e-21
3.257513614852261412e+02 -5.049399999999999843e-21
3.257508309163428066e+02 3.646500000000000203e-21
3.257503109605139002e+02 -1.758399999999999947e-21
3.257497803950525963e+02 -1.570119999999999917e-20
3.257492604425773379e+02 -3.048099999999999946e-21
3.257487298805381215e+02 -4.533400000000000287e-21
3.257481993202271724e+02 -9.996599999999999989e-21
3.257476793727992117e+02 -8.263599999999999393e-21
3.257471488159102933e+02 -1.506380000000000021e-20
3.257466288718358669e+02 -2.359199999999999979e-21
3.257460983183688654e+02 -5.995999999999999568e-22
3.257455677666301881e+02 -1.645950000000000090e-20
3.257450478276030026e+02 -9.615700000000000332e-21
3.257445172792861285e+02 -7.772300000000000272e-21
3.257439973436124205e+02 -5.971600000000000281e-21
3.257434667987175203e+02 6.289400000000000082e-21
3.257429468663972330e+02 -6.989400000000000751e-21
3.257424163249241360e+02 -1.625000000000000080e-20
3.257418857851792495e+02 -2.606299999999999820e-21
3.257413658579059756e+02 3.148899999999999931e-21
3.257408353215828924e+02 3.158100000000000137e-21
3.257403153976629824e+02 -1.000099999999999914e-21
3.257397848647616456e+02 -1.207039999999999958e-20
3.257392543335885193e+02 -6.168500000000000330e-21
3.257387344147155090e+02 2.714299999999999884e-21
3.257382038869640724e+02 -6.585899999999999663e-21
3.257376839714443122e+02 -7.110499999999999764e-21
3.257371534471145651e+02 -3.086200000000000100e-21
3.257366229245129716e+02 -2.680399999999999996e-21
3.257361030140399976e+02 3.178799999999999942e-21
3.257355724948599800e+02 -9.299999999999999911e-22
3.257350525877401424e+02 -4.297000000000000184e-22
3.257345220719818144e+02 1.806399999999999975e-21
3.257339915579514695e+02 -7.095099999999999541e-21
3.257334716558783612e+02 -8.642299999999999663e-21
3.257329411452695922e+02 -1.256130000000000018e-20
3.257324212465495634e+02 -7.969799999999999606e-21
3.257318907393623135e+02 -8.689000000000000738e-22
3.257313602339031036e+02 -7.348199999999999385e-21
3.257308403402296335e+02 -1.145000000000000057e-22
3.257303098381918289e+02 -3.157900000000000124e-21
3.257297899478713816e+02 -1.333849999999999972e-20
3.257292594492550961e+02 -8.202199999999999268e-21
3.257287395622876147e+02 -1.071519999999999958e-20
3.257282090670927346e+02 -5.455500000000000343e-21
3.257276785736257807e+02 -5.652799999999999664e-21
3.257271586917046307e+02 -1.571179999999999909e-20
3.257266282016590822e+02 -3.028000000000000178e-21
3.257261083230908980e+02 -8.914999999999999995e-22
3.257255778364665844e+02 -1.486159999999999869e-20
3.257250473515703106e+02 -7.739400000000000070e-21
3.257245274780483442e+02 -9.389999999999999965e-22
3.257239969965733053e+02 -8.103599999999999799e-21
3.257234771264041910e+02 -4.753700000000000312e-21
3.257229466483503302e+02 6.720000000000000251e-22
3.257224161720243956e+02 -6.607999999999999934e-21
3.257218963069013853e+02 -7.440600000000000719e-21
3.257213658339966855e+02 -4.274999999999999732e-21
3.257208459722263569e+02 -3.531600000000000078e-21
3.257203155027427783e+02 -6.749199999999999842e-21
3.257197850349870691e+02 -1.448870000000000105e-20
3.257192651782627877e+02 -8.804100000000000123e-21
3.257187347139281997e+02 -3.833299999999999988e-21
3.257182148605565430e+02 -3.509299999999999795e-21
3.257176843996430193e+02 5.901999999999999637e-21
3.257171645496240444e+02 7.153999999999999884e-21
3.257166340921315282e+02 -1.814700000000000124e-21
3.257161036363667677e+02 -2.628700000000000109e-21
3.257155837913936125e+02 8.995399999999999817e-21
3.257150533390499163e+02 3.833400000000000371e-21
3.257145334974293291e+02 -7.341599999999999720e-21
3.257140030485065267e+02 3.556999999999999898e-22
