#Wavelength (nm)	Absorption cross-section (cm2/molecule)
265.13	3.76E-19
265.14	3.78E-19
265.14	3.83E-19
265.15	3.84E-19
265.16	3.87E-19
265.17	3.96E-19
265.18	3.94E-19
265.19	3.90E-19
265.19	3.95E-19
265.20	3.99E-19
265.21	3.98E-19
265.22	3.94E-19
265.23	4.04E-19
265.23	3.95E-19
265.24	4.24E-19
265.25	4.32E-19
265.26	4.43E-19
265.27	4.43E-19
265.28	4.59E-19
265.28	4.55E-19
265.29	4.44E-19
265.30	4.47E-19
265.31	4.45E-19
265.32	4.51E-19
265.33	4.61E-19
265.33	4.68E-19
265.34	4.67E-19
265.35	4.68E-19
265.36	4.60E-19
265.37	4.47E-19
265.37	4.55E-19
265.38	4.44E-19
265.39	4.39E-19
265.40	4.26E-19
265.41	4.24E-19
265.42	4.24E-19
265.42	4.28E-19
265.43	4.38E-19
265.44	4.30E-19
265.45	4.15E-19
265.46	4.11E-19
265.46	4.13E-19
265.47	4.14E-19
265.48	4.05E-19
265.49	3.95E-19
265.50	3.99E-19
265.51	3.93E-19
265.51	3.88E-19
265.52	4.02E-19
265.53	3.89E-19
265.54	3.80E-19
265.55	3.88E-19
265.55	3.73E-19
265.56	3.92E-19
265.57	3.83E-19
265.58	3.73E-19
265.59	3.74E-19
265.60	3.70E-19
265.60	3.61E-19
265.61	3.56E-19
265.62	3.61E-19
265.63	3.64E-19
265.64	3.61E-19
265.65	3.54E-19
265.65	3.50E-19
265.66	3.47E-19
265.67	3.46E-19
265.68	3.42E-19
265.69	3.46E-19
265.69	3.41E-19
265.70	3.47E-19
265.71	3.44E-19
265.72	3.43E-19
265.73	3.41E-19
265.74	3.35E-19
265.74	3.46E-19
265.75	3.39E-19
265.76	3.37E-19
265.77	3.43E-19
265.78	3.35E-19
265.78	3.47E-19
265.79	3.50E-19
265.80	3.58E-19
265.81	3.66E-19
265.82	3.52E-19
265.83	3.49E-19
265.83	3.46E-19
265.84	3.54E-19
265.85	3.61E-19
265.86	3.72E-19
265.87	3.74E-19
265.88	3.89E-19
265.88	3.92E-19
265.89	4.02E-19
265.90	4.24E-19
265.91	4.33E-19
265.92	4.36E-19
265.92	4.21E-19
265.93	4.40E-19
265.94	4.36E-19
265.95	4.33E-19
265.96	4.42E-19
265.97	4.41E-19
265.97	4.51E-19
265.98	4.54E-19
265.99	4.39E-19
266.00	4.51E-19
266.01	4.68E-19
266.01	4.46E-19
266.02	4.44E-19
266.03	4.44E-19
266.04	4.43E-19
266.05	4.50E-19
266.06	4.65E-19
266.06	4.68E-19
266.07	4.62E-19
266.08	4.64E-19
266.09	4.63E-19
266.10	4.63E-19
266.10	4.69E-19
266.11	4.57E-19
266.12	4.50E-19
266.13	4.50E-19
266.14	4.35E-19
266.15	4.32E-19
266.15	4.49E-19
266.16	4.56E-19
266.17	4.51E-19
266.18	4.51E-19
266.19	4.57E-19
266.20	4.68E-19
266.20	4.57E-19
266.21	4.58E-19
266.22	4.49E-19
266.23	4.44E-19
266.24	4.42E-19
266.24	4.38E-19
266.25	4.40E-19
266.26	4.47E-19
266.27	4.51E-19
266.28	4.44E-19
266.29	4.44E-19
266.29	4.48E-19
266.30	4.49E-19
266.31	4.62E-19
266.32	4.73E-19
266.33	4.66E-19
266.33	4.87E-19
266.34	4.77E-19
266.35	4.71E-19
266.36	4.84E-19
266.37	4.74E-19
266.38	4.66E-19
266.38	4.66E-19
266.39	4.52E-19
266.40	4.67E-19
266.41	4.56E-19
266.42	4.55E-19
266.43	4.52E-19
266.43	4.51E-19
266.44	4.55E-19
266.45	4.45E-19
266.46	4.46E-19
266.47	4.41E-19
266.47	4.41E-19
266.48	4.36E-19
266.49	4.36E-19
266.50	4.32E-19
266.51	4.38E-19
266.52	4.24E-19
266.52	4.18E-19
266.53	4.22E-19
266.54	4.05E-19
266.55	4.13E-19
266.56	4.26E-19
266.56	4.33E-19
266.57	4.27E-19
266.58	4.11E-19
266.59	4.08E-19
266.60	4.11E-19
266.61	4.10E-19
266.61	4.06E-19
266.62	4.08E-19
266.63	4.05E-19
266.64	3.96E-19
266.65	3.94E-19
266.65	4.08E-19
266.66	4.00E-19
266.67	3.91E-19
266.68	3.98E-19
266.69	3.99E-19
266.70	3.97E-19
266.70	3.99E-19
266.71	3.94E-19
266.72	3.93E-19
266.73	4.01E-19
266.74	4.10E-19
266.75	4.10E-19
266.75	3.99E-19
266.76	4.16E-19
266.77	4.24E-19
266.78	4.24E-19
266.79	4.32E-19
266.79	4.37E-19
266.80	4.46E-19
266.81	4.45E-19
266.82	4.51E-19
266.83	4.64E-19
266.84	4.67E-19
266.84	4.69E-19
266.85	4.92E-19
266.86	5.01E-19
266.87	5.19E-19
266.88	5.24E-19
266.88	5.30E-19
266.89	5.44E-19
266.90	5.33E-19
266.91	5.34E-19
266.92	5.45E-19
266.93	5.31E-19
266.93	5.22E-19
266.94	5.16E-19
266.95	5.28E-19
266.96	5.20E-19
266.97	5.14E-19
266.98	5.16E-19
266.98	5.08E-19
266.99	5.15E-19
267.00	5.15E-19
267.01	5.07E-19
267.02	5.03E-19
267.02	5.06E-19
267.03	5.14E-19
267.04	4.91E-19
267.05	4.89E-19
267.06	4.76E-19
267.07	4.75E-19
267.07	4.55E-19
267.08	4.54E-19
267.09	4.60E-19
267.10	4.55E-19
267.11	4.40E-19
267.11	4.34E-19
267.12	4.44E-19
267.13	4.42E-19
267.14	4.36E-19
267.15	4.30E-19
267.16	4.31E-19
267.16	4.22E-19
267.17	4.26E-19
267.18	4.33E-19
267.19	4.29E-19
267.20	4.22E-19
267.20	4.17E-19
267.21	4.19E-19
267.22	4.20E-19
267.23	4.21E-19
267.24	4.21E-19
267.25	4.22E-19
267.25	4.33E-19
267.26	4.22E-19
267.27	4.24E-19
267.28	4.15E-19
